iter	MultiClass
0	1.624624878
1	1.354252718
2	1.18198111
3	1.015904795
4	0.9016980929
5	0.8011044301
6	0.7222569573
7	0.6647360517
8	0.6045157512
9	0.5543789432
10	0.5051040369
11	0.4572686619
12	0.419077866
13	0.3874935257
14	0.3551878632
15	0.3316013106
16	0.3076614643
17	0.2884954217
18	0.2660038346
19	0.2497025401
20	0.2330913423
21	0.2177674599
22	0.2056454788
23	0.1920792144
24	0.1801832072
25	0.1687940932
26	0.1599942735
27	0.1508047972
28	0.142953896
29	0.1372602924
30	0.1298978241
31	0.1235727539
32	0.1167167238
33	0.1105871856
34	0.1053285568
35	0.09976423653
36	0.09500475284
37	0.09161535224
38	0.08816074346
39	0.08556714876
40	0.08333990329
41	0.0810184599
42	0.07798053361
43	0.07516237318
44	0.07359674717
45	0.0712988306
46	0.06894288828
47	0.06733146084
48	0.06481666936
49	0.06300498727
50	0.06072646634
51	0.05923336816
52	0.05763406507
53	0.05743408436
54	0.0552987767
55	0.05395495271
56	0.05309337989
57	0.05229062076
58	0.05138023181
59	0.05031913892
60	0.04852041792
61	0.04764438504
62	0.04600794547
63	0.04489749753
64	0.04377807173
65	0.04253489216
66	0.04210465381
67	0.04142958301
68	0.04105340655
69	0.04102886525
70	0.04020933662
71	0.03907620617
72	0.03808339924
73	0.03759901159
74	0.03697631603
75	0.0366553669
76	0.03595914611
77	0.03551031621
78	0.03494663553
79	0.03459592853
80	0.03404467412
81	0.0334988531
82	0.03349086481
83	0.033446893
84	0.03295595547
85	0.03263518069
86	0.03224121989
87	0.03223301478
88	0.03167961242
89	0.03132358431
90	0.03106257208
91	0.03042884017
92	0.02980921281
93	0.02944980987
94	0.02907999529
95	0.02858061021
96	0.0280927717
97	0.02757381519
98	0.02712340567
99	0.02682144479
100	0.02645545686
101	0.02632155953
102	0.02609202046
103	0.02573929612
104	0.02549506041
105	0.02515595862
106	0.0247699277
107	0.0244864339
108	0.02433348505
109	0.02413885135
110	0.02394554867
111	0.02340348957
112	0.02314782896
113	0.02288483874
114	0.02261911247
115	0.02241208165
116	0.02206830731
117	0.02186357613
118	0.02154974685
119	0.02093368761
120	0.02075470661
121	0.02036860625
122	0.02017058365
123	0.02002261661
124	0.01988577943
125	0.0197072655
126	0.01953629963
127	0.019360029
128	0.01920880059
129	0.01901595562
130	0.01877585935
131	0.0187417042
132	0.01850108821
133	0.01826183889
134	0.01803488745
135	0.01787887683
136	0.01761976704
137	0.01749066707
138	0.01744548977
139	0.01730681382
140	0.01708377117
141	0.01702658779
142	0.01692344471
143	0.0167374176
144	0.01664764054
145	0.01650081811
146	0.01634770927
147	0.0162491606
148	0.01602640571
149	0.01601243331
150	0.01586911107
151	0.01581632466
152	0.01570271115
153	0.0155929453
154	0.01549529248
155	0.0153492801
156	0.01526150064
157	0.01508037321
158	0.01486780668
159	0.01476438734
160	0.01465658556
161	0.01448267053
162	0.01438128275
163	0.01433209888
164	0.01426124905
165	0.0142144237
166	0.01408435749
167	0.01396768796
168	0.01385488119
169	0.01374796996
170	0.01368384072
171	0.01360107102
172	0.0134266407
173	0.0133191706
174	0.01317340205
175	0.01314977642
176	0.01300384648
177	0.0129017146
178	0.01277508755
179	0.01269511023
180	0.01259950775
181	0.01240656728
182	0.01234854691
183	0.01225460582
184	0.01214643541
185	0.01207629277
186	0.01198405337
187	0.01189039879
188	0.01184453198
189	0.01174865181
190	0.01170968622
191	0.01169013265
192	0.01163604351
193	0.01153661909
194	0.01143972728
195	0.01139979742
196	0.01129650962
197	0.01126362564
198	0.01122192114
199	0.0111495685
200	0.01108301181
201	0.01100003359
202	0.01093508118
203	0.0108568653
204	0.01083170325
205	0.01077271747
206	0.01075518493
207	0.01067847209
208	0.01060619543
209	0.0105604847
210	0.01050114803
211	0.01044997479
212	0.01042073746
213	0.01038900571
214	0.01029768238
215	0.01021000962
216	0.010162136
217	0.01011171554
218	0.01005917189
219	0.01001147307
220	0.009909455085
221	0.009869556994
222	0.009849151206
223	0.009798673891
224	0.009751119105
225	0.009697475753
226	0.009685142266
227	0.009637682494
228	0.009557980513
229	0.009471344313
230	0.009398798349
231	0.009354545785
232	0.009307778099
233	0.009260312843
234	0.00922636548
235	0.009167788965
236	0.009160863624
237	0.009132919774
238	0.009089056794
239	0.009076163202
240	0.009053167845
241	0.009028338965
242	0.009006279078
243	0.008912056147
244	0.008886425769
245	0.008842711644
246	0.008777339267
247	0.008724942146
248	0.008709500359
249	0.00868480763
250	0.008597524362
251	0.00857848385
252	0.008538728024
253	0.008503835989
254	0.008460680546
255	0.008440680614
256	0.008416283375
257	0.008363427262
258	0.008305389058
259	0.008281034973
260	0.008256274374
261	0.008204234695
262	0.008163639752
263	0.008154975044
264	0.00810509326
265	0.008051582972
266	0.008019295316
267	0.008009292084
268	0.007973006992
269	0.007955456888
270	0.007917609728
271	0.007886203535
272	0.007844183285
273	0.007811556968
274	0.007757394636
275	0.007720143493
276	0.007682560083
277	0.007674471654
278	0.007662095759
279	0.007643466081
280	0.007590736498
281	0.007546981248
282	0.007521277152
283	0.007497793607
284	0.007471026428
285	0.007432778475
286	0.007410983291
287	0.007389276562
288	0.007387684842
289	0.007341345837
290	0.007263477854
291	0.007205094797
292	0.007180397176
293	0.007140298283
294	0.007119200394
295	0.007108462283
296	0.007060900139
297	0.007042641273
298	0.007011323683
299	0.006984603777
300	0.006972405679
301	0.006954517042
302	0.006925595616
303	0.006891809982
304	0.006872969339
305	0.006861915467
306	0.006841532665
307	0.006840341415
308	0.006828299434
309	0.006805418785
310	0.006768637607
311	0.006742195478
312	0.006718146745
313	0.00668906633
314	0.006674777739
315	0.006652963404
316	0.006624077574
317	0.006606328611
318	0.006600267478
319	0.006559528769
320	0.006549198103
321	0.006520812794
322	0.006497259705
323	0.006481372389
324	0.006458032517
325	0.006457636837
326	0.006411727347
327	0.006381949502
328	0.006378889801
329	0.006358001728
330	0.006337714872
331	0.00632357461
332	0.006293021607
333	0.006280613802
334	0.006260064578
335	0.006234627659
336	0.006201966325
337	0.006195203899
338	0.006169438374
339	0.006144355925
340	0.006113507361
341	0.006103738692
342	0.006069681255
343	0.00600042052
344	0.005976854213
345	0.005945909225
346	0.005917113245
347	0.005909255361
348	0.005880700574
349	0.005870048234
350	0.005847968581
351	0.005829206281
352	0.005805871691
353	0.005796564889
354	0.005756533313
355	0.005745157209
356	0.005727647338
357	0.005724589182
358	0.005717294363
359	0.005705427397
360	0.005692428087
361	0.005674092661
362	0.005662519852
363	0.005640465174
364	0.005638887334
365	0.005612138055
366	0.005595819452
367	0.005582542418
368	0.005571980388
369	0.005543670908
370	0.005536202474
371	0.005528701214
372	0.00550860713
373	0.005472236813
374	0.005443935082
375	0.005397915015
376	0.005390668737
377	0.005381083232
378	0.00536754313
379	0.005355428713
380	0.00534914747
381	0.005338887888
382	0.005325787571
383	0.005270900617
384	0.005246480095
385	0.005239513937
386	0.005219924588
387	0.005193752085
388	0.00516343751
389	0.005159258218
390	0.005153814491
391	0.005139238089
392	0.005118739834
393	0.005107846527
394	0.005083580654
395	0.0050659456
396	0.005050206176
397	0.005043240357
398	0.005033936211
399	0.005030021988
400	0.005016601942
401	0.005008383839
402	0.005006232266
403	0.004994490121
